IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
109.194.62.38,dynamicip-109-194-62-38.pppoe.kursk.ertelecom.ru,"Microsoft Windows XP SP2 or SP3, or Windows Embedded Standard 2009",95
109.194.63.82,dynamicip-109-194-63-82.pppoe.kursk.ertelecom.ru,"Microsoft Windows XP SP2 or SP3",96
109.195.106.189,dynamicip-109-195-106-189.pppoe.ekat.ertelecom.ru,"Microsoft Windows XP SP2 or SP3",96
109.195.108.176,109x195x108x176.static-business.ekat.ertelecom.ru,"Microsoft Windows Server 2003 SP2",94
109.195.108.201,109x195x108x201.static-business.ekat.ertelecom.ru,"FreeBSD 8.0-RELEASE",95
109.195.138.17,dynamicip-109-195-138-17.pppoe.kurgan.ertelecom.ru,"Microsoft Windows XP SP2 or SP3",96
109.195.163.130,109x195x163x130.static-customer.ryazan.ertelecom.ru,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",96
109.195.179.28,109x195x179x28.static-customer.pppoe.ertelecom.ru,"Microsoft Windows Vista SP2",98
109.195.179.89,109x195x179x89.static-customer.pppoe.ertelecom.ru,"Microsoft Windows Vista SP2",96
109.195.20.64,109x195x20x64.static-business.saratov.ertelecom.ru,"FreeBSD 7.0-BETA4 - 7.0",98
109.195.23.44,ns1.microbe.ru,"Microsoft Windows Server 2003 SP2",96
109.195.252.174,109x195x252x174.static-business.cheb.ertelecom.ru,"Microsoft Windows Vista SP2",98
109.195.253.70,109x195x253x70.static-business.cheb.ertelecom.ru,"Microsoft Windows XP SP3",96
109.195.51.142,109x195x51x142.static-customer.voronezh.ertelecom.ru,"Linksys WRV54G WAP",96
109.195.94.148,biarum.com,"FreeBSD 7.0-BETA4 - 7.0",97
109.196.117.237,host-117-237.mt.pl,"Linksys WRV54G WAP",93
109.196.182.4,pppoe-182-4.alexandriya.net,"Microsoft Windows Server 2003 SP2",95
109.196.47.242,host-41-242.kotun.arxnet.pl,"Linux 2.6.24 - 2.6.25",96
109.197.184.137,109-197-184-137.tylda.net,"MikroTik RouterOS 3.30",95
109.197.184.146,109-197-184-146.tylda.net,"Linksys WRV54G WAP",92
109.197.184.199,109-197-184-199.tylda.net,"MikroTik RouterOS 3.30",96
109.197.186.1,109-197-186-1.tylda.net,"MikroTik RouterOS 3.17",94
109.197.186.115,109-197-186-115.tylda.net,"MikroTik RouterOS 3.17",96
109.197.186.154,109-197-186-154.tylda.net,"MikroTik RouterOS 3.30",96
109.197.186.171,109-197-186-171.tylda.net,"Microsoft Windows Server 2008 Beta 3",81
109.197.186.196,109-197-186-196.tylda.net,"MikroTik RouterOS 3.30",96
109.197.186.208,109-197-186-208.tylda.net,"MikroTik RouterOS 3.30",96
109.197.186.232,109-197-186-232.tylda.net,"MikroTik RouterOS 3.30",95
109.197.186.233,109-197-186-233.tylda.net,"MikroTik RouterOS 3.30",94
109.197.186.31,109-197-186-31.tylda.net,"MikroTik RouterOS 3.30",93
109.197.186.32,109-197-186-32.tylda.net,"MikroTik RouterOS 3.30",96
109.197.186.4,109-197-186-4.tylda.net,"MikroTik RouterOS 3.30",96
109.197.186.73,109-197-186-73.tylda.net,"MikroTik RouterOS 3.30",94
109.197.186.80,109-197-186-80.tylda.net,"MikroTik RouterOS 3.30",94
109.197.186.82,109-197-186-82.tylda.net,"MikroTik RouterOS 3.30",96
